gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000244509,367.3802297660946,3.1932967348918684,0.20867542392417243,8.181362686726884e-54,5.13380508592112e-52,APOBEC3C
ENSG00000100234,269.87804638600426,3.6241145515496718,0.2477126161128654,2.2856322119606723e-49,1.2748748560047305e-47,TIMP3
ENSG00000183579,575.7232014375454,2.0365643122007455,0.17517677884141625,4.775728993853285e-32,1.598277303276233e-30,ZNRF3
ENSG00000128342,798.8510111756192,1.2805773932077884,0.1295043170213521,1.4436953341193873e-23,2.8989402309117295e-22,LIF
ENSG00000075275,97.08007074644793,4.9693313180831655,0.5214571101062954,4.697742100574665e-22,8.734320498105488e-21,CELSR1
ENSG00000100138,957.2575777230104,1.0851719586599213,0.1252489379425755,1.897613745505991e-18,2.919513604868362e-17,SNU13
ENSG00000196236,918.621420502592,0.9091380953769699,0.12417814573226722,1.2216866362732692e-13,1.4958211985589785e-12,XPNPEP3
ENSG00000100401,1288.1424950758887,0.7982176549110782,0.11433808204981465,1.7006614309169188e-12,1.855939213739768e-11,RANGAP1
ENSG00000188064,63.428698377394,3.1082430648135286,0.47507451036772635,6.756943188360507e-12,6.783970961113948e-11,WNT7B
ENSG00000100413,411.9330476015128,1.1127647640042715,0.1722967649142918,3.966026791246266e-11,3.6869360170474547e-10,POLR3H
ENSG00000186575,1425.1120214671546,0.6918619440013464,0.10610229151751832,4.604533823966544e-11,4.2026835993294633e-10,NF2
ENSG00000099995,1724.435780848732,0.6380195514322899,0.09933932668076677,9.37663078407248e-11,8.258015181762079e-10,SF3A1
ENSG00000093009,272.1764499346348,1.3236769110353712,0.21601336274884833,2.53091257071356e-10,2.1177878410175805e-9,CDC45
ENSG00000100296,394.3036308527014,1.0430480638120083,0.1686262606098139,2.531220527112646e-10,2.1177878410175805e-9,THOC5
ENSG00000100350,299.33970591693554,1.1367961172578844,0.19093481052493494,9.414597152068674e-10,7.62278672635238e-9,FOXRED2
ENSG00000099901,724.6199677254233,0.8207898347603932,0.14445743712108583,7.3936993349791446e-9,5.7102108710146625e-8,RANBP1
ENSG00000183963,362.42846693583897,1.0780784880700167,0.1921576166564479,7.866924532778848e-9,5.983630477962093e-8,SMTN
ENSG00000167065,177.6738775279059,1.6555677094258503,0.302651687560445,8.694514710885234e-9,6.481685649348812e-8,DUSP18
ENSG00000100320,588.4330770854178,0.7877486961577584,0.1395420500282556,9.510134438828801e-9,6.918967374336316e-8,RBFOX2
ENSG00000130638,1082.1349361155212,0.6844503676396906,0.12144784522739563,1.1512651027807058e-8,8.256215451370204e-8,ATXN10
ENSG00000215012,455.2666706447678,0.8661507606144091,0.1566688559269788,1.6734377141429972e-8,1.1667579618052564e-7,RTL10
ENSG00000279738,139.50794858352393,1.434926517870885,0.27359861262172364,3.8002600954692884e-8,2.578014280980517e-7,AL022311.1
ENSG00000100029,912.0137990768823,0.6810845413127342,0.12859310949925637,7.718306545339528e-8,5.098144586526899e-7,PES1
ENSG00000241484,241.01942199885553,1.1024051764359895,0.21499219068083222,1.0866853184532588e-7,7.084623764461505e-7,ARHGAP8
ENSG00000093072,29.27044011821054,4.4376957995947865,0.9126029678969599,1.941614389003082e-7,1.2033215102216633e-6,ADA2
ENSG00000184949,101.27272863507163,1.545959230616412,0.32342271176812637,3.724571632190303e-7,2.174110417859921e-6,FAM227A
ENSG00000278948,90.16867288855202,1.5860569643572926,0.3612070499012984,2.2620144498889097e-6,1.2758778133081267e-5,AL031587.5
ENSG00000100297,751.2743684725687,0.6364105835015411,0.1387573933619763,3.125901850503397e-6,1.705655140165984e-5,MCM5
ENSG00000159873,357.74386124608753,0.7342686907915766,0.175701356310719,1.7876560267682952e-5,9.347951306642544e-5,CCDC117
ENSG00000100104,262.4056290254159,0.8334918342392512,0.20117676995169537,1.8249700835599154e-5,9.444690535536882e-5,SRRD
ENSG00000183765,246.3803113151152,0.8629223443065643,0.20988284055939224,2.0067702367492373e-5,1.0279578151511398e-4,CHEK2
ENSG00000184319,94.74716859629079,1.387506833014182,0.3575158954911359,2.544291018014119e-5,1.2772340910430878e-4,RPL23AP82
ENSG00000185608,136.64972501547265,1.0730292608680656,0.27377902781981106,3.302831734888528e-5,1.6416054761525157e-4,MRPL40
ENSG00000275004,79.22743572968527,1.3971164780869638,0.3673775004377312,3.434881945013356e-5,1.6740880935890335e-4,ZNF280B
ENSG00000075218,262.68395503633127,0.800058513277353,0.20391878666668303,4.845591521499959e-5,2.3389297536470952e-4,GTSE1
ENSG00000100099,474.38205414862296,0.5948520884804975,0.15434958869443485,8.392054820546537e-5,3.9743504904852465e-4,HPS4
ENSG00000100228,71.12548739639689,1.4028023565254306,0.39429065031323846,8.777551044247388e-5,4.1180660039366254e-4,RAB36
ENSG00000100410,250.9618103245681,0.770736032075663,0.2040260095673923,9.12377252473465e-5,4.2408646364970316e-4,PHF5A
ENSG00000185721,485.84718217703386,0.591280608771405,0.15552911868202632,1.0416895589153492e-4,4.797506041977113e-4,DRG1
ENSG00000100395,418.9724975250813,0.623731933243386,0.16548493499373945,1.1425156335241035e-4,5.214025891173635e-4,L3MBTL2
ENSG00000100105,245.23648611726557,0.7278530626237877,0.20254467703182266,1.9806103084339088e-4,8.721634866963353e-4,PATZ1
ENSG00000070371,105.88770714346609,1.034574713640536,0.3054514341170699,2.718478311292296e-4,0.0011866748802336804,CLTCL1
ENSG00000272977,36.701694196605665,1.8261759792128365,0.6022407224615576,3.3210151234784043e-4,0.001412838637276406,AL008721.2
