gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,gene_name
ENSG00000100075,1506.4860394955122,-0.8626519667745757,0.10207418780211935,1.490110441878574e-17,2.137244119494412e-16,SLC25A1
ENSG00000100345,18090.45973143725,-0.5845331722263187,0.06941260054309992,2.741089412175697e-17,3.822296902533889e-16,MYH9
ENSG00000100417,192.04284466886583,-2.1502191006352125,0.2668392196525084,1.011835905905219e-16,1.372815202066e-15,PMM1
ENSG00000100097,73.50832475081862,-3.643558520189121,0.4709634744094831,1.1319858596032914e-15,1.495412898739085e-14,LGALS1
ENSG00000100243,863.7190779190641,-0.9472291223264273,0.12266697660611951,5.24609646643388e-15,6.752667759358481e-14,CYB5R3
ENSG00000070413,1357.029188131894,-0.786594754273413,0.10469569782401256,3.3050553747613315e-14,4.1478444953254715e-13,DGCR2
ENSG00000100325,691.7348993321274,-0.9814642568187744,0.13618522051274198,2.5229531688200905e-13,3.0155297398754414e-12,ASCC2
ENSG00000240972,86.56850396432166,-2.78606268542324,0.4053445554018711,6.716705881859237e-13,7.841363610914736e-12,MIF
ENSG00000189060,3350.2361230521865,-0.6595700921659975,0.09286869115595349,8.233712756096795e-13,9.393917735364979e-12,H1-0
ENSG00000099917,786.1144757802318,-0.8923578181750402,0.12774958277652432,1.398043561653933e-12,1.5595952621117206e-11,MED15
ENSG00000133424,453.3137919347089,-1.0811805948741118,0.15742858292295983,2.4850241900841513e-12,2.654217326430306e-11,LARGE1
ENSG00000128242,57.23775991910664,-3.3851696544157344,0.5072363145343808,2.6750328620083694e-12,2.7976385348504198e-11,GAL3ST1
ENSG00000100299,243.0636870519395,-1.4194848323128006,0.20957773072613686,3.119742578511763e-12,3.196144437577357e-11,ARSA
ENSG00000100181,93.69222766535238,-10.455946414799206,2.9914881100595556,1.019088382044539e-11,1.0031026819340364e-10,TPTEP1
ENSG00000100106,595.130061192414,-0.9266061022244448,0.1391031206542317,1.2780373517911298e-11,1.2337975973060522e-10,TRIOBP
ENSG00000100092,101.0609951826561,-2.165569682072339,0.33614758137931,1.5534743803964362e-11,1.4714040357717187e-10,SH3BP1
ENSG00000128268,61.396304072213105,-3.007258251957355,0.4837194285207123,5.2137201325656206e-11,4.673727690264181e-10,MGAT3
ENSG00000100258,164.45631027097514,-1.5590798000312518,0.25568793268713114,2.268087088396606e-10,1.9630684799570625e-9,LMF2
ENSG00000185339,71.71772577406175,-2.5503259251781647,0.43667820564140253,5.387151785423622e-10,4.433360977512555e-9,TCN2
ENSG00000100304,1702.456300604025,-0.6158156736974737,0.10625651027408364,4.801740519244101e-9,3.826148794699268e-8,TTLL12
ENSG00000138944,40.874248530856576,-9.018329629108962,2.853308330750037,5.9354695635158035e-9,4.655633938882708e-8,SHISAL1
ENSG00000221963,1967.2299119514714,-1.484543965498414,0.27044246164127955,8.77997259274341e-9,6.481685649348812e-8,APOL6
ENSG00000100316,11878.374561537767,0.41259382812060164,0.07290879192856344,1.3786754995568434e-8,9.747818320810358e-8,RPL3
ENSG00000186654,174.4069577051533,-1.326175299539923,0.24624771341839694,1.962570479474348e-8,1.3496032612275654e-7,PRR5
ENSG00000225335,62.617890445977,-2.1652384712990544,0.42525895236640293,4.509067639580684e-8,3.0180692734260047e-7,AC016027.1
ENSG00000100353,2108.2581852135963,0.4695543940853028,0.0894837808933822,1.2835976103502833e-7,8.261102569177465e-7,EIF3D
ENSG00000198355,305.48213352091915,-0.9745283352517935,0.19059421683525768,1.374381216460152e-7,8.733409755227801e-7,PIM3
ENSG00000128283,380.21806276062904,-0.8577135699871953,0.168041025105453,1.7053600657360537e-7,1.0701134412493738e-6,CDC42EP1
ENSG00000100330,997.2006333529043,-0.6268715134463689,0.12363615969189419,2.7353360464779464e-7,1.674559384551133e-6,MTMR3
ENSG00000183172,224.31531203510593,-1.1049576771164884,0.22470250699967434,3.17033982702209e-7,1.9174826423675773e-6,SMDT1
ENSG00000180957,1082.5430306526634,0.5753503737191075,0.11383693816018102,3.2232391980447507e-7,1.9262691397838867e-6,PITPNB
ENSG00000100422,490.81378260338977,-0.8458030926282138,0.17023411328689037,3.475865667393148e-7,2.05280537062513e-6,CERK
ENSG00000100129,1521.1329987627607,0.5424903954858854,0.11184625876937437,9.523671677195896e-7,5.495268025232574e-6,EIF3L
ENSG00000100078,22.65658627962938,-4.109470421769442,0.9324349031429771,1.5924675757289178e-6,9.084303670635417e-6,PLA2G3
ENSG00000196419,3806.1252720090188,0.4130028428416902,0.08870975637372107,2.8531724003424053e-6,1.591436161079875e-5,XRCC6
ENSG00000178026,23.36074272533945,-3.8069891388450205,0.9070709487085753,3.0027294903088342e-6,1.6564507737747634e-5,LRRC75B
ENSG00000138942,390.462779266221,-0.7411475381261955,0.16472182762668072,4.068550222517054e-6,2.1961421631221085e-5,RNF185
ENSG00000093010,344.5882590143995,-0.7962129969180994,0.18121784292625526,6.175563407983664e-6,3.298013649795531e-5,COMT
ENSG00000170638,262.7895509012924,-0.9038993866469816,0.21467451984982328,1.2033566922255065e-5,6.358790099970571e-5,TRABD
ENSG00000198089,382.26002160871724,-0.6983999849803536,0.1698743148553036,2.472691160038312e-5,1.253829254888114e-4,SFI1
ENSG00000100077,287.7954036863384,-0.7581794988942838,0.1886957787888981,3.402305694189727e-5,1.6740880935890335e-4,GRK3
ENSG00000100170,329.14289267252434,-0.8170826566469716,0.21271016952021798,6.477818194634229e-5,3.0970140321013174e-4,SLC5A1
ENSG00000184117,1223.0752881732983,0.4146333010834563,0.10994296697279746,1.3969109728701975e-4,6.317561336764317e-4,NIPSNAP1
ENSG00000073169,163.21122730493454,-0.9237896513343037,0.2608920007391162,1.7991118581570835e-4,8.063876364239784e-4,SELENOO
ENSG00000100083,566.6927810945525,-0.5303979635366097,0.14464738922616288,1.879633919437305e-4,8.350232102279001e-4,GGA1
ENSG00000099991,1384.4074056969132,0.3784671429963639,0.10538201906401265,2.903527023892364e-4,0.001256526349994799,CABIN1
ENSG00000128159,447.9032346705864,-0.5498990803105224,0.15592609348371048,3.1355801471498506e-4,0.0013453514819395085,TUBGCP6
ENSG00000054611,333.7926927045233,-0.6109235236031313,0.17524203476999523,3.402728035110082e-4,0.0014354365324582027,TBC1D22A
ENSG00000100220,1321.353818995145,-0.3861954646765157,0.1109003738167677,4.319762147539746e-4,0.0018071004983874607,RTCB
ENSG00000241973,1338.99220057278,-0.36357400290749237,0.1047160679099599,4.557957701156933e-4,0.0018754875130990005,PI4KA
ENSG00000133454,13.431925482267113,-3.0801265856660605,1.095774550201631,4.5484341706112833e-4,0.0018754875130990005,MYO18B
ENSG00000100023,693.7227193354947,-0.44656497554282937,0.13017852146848993,4.968983641219194e-4,0.0020244979615369895,PPIL2
ENSG00000100201,7534.514807089145,0.2418631217424232,0.07080322091183852,6.202949821535826e-4,0.0024713339765166545,DDX17
ENSG00000100364,741.6105769970734,0.43435575226125595,0.12948846912729664,6.711741423120571e-4,0.0026529875546508082,KIAA0930
ENSG00000100285,6.654603039109082,-5.2359684592274025,2.8102819031359507,6.806136613033983e-4,0.002669281702924265,NEFH
ENSG00000183597,269.9175141563432,-0.6342717141909924,0.1938715470824961,7.183093295285963e-4,0.002795281266847716,TANGO2
ENSG00000100197,6.390710480196464,-5.118943557342632,2.8281811123118445,8.360036838847613e-4,0.0032282603793088475,CYP2D6
ENSG00000128335,181.96139472617227,-0.744219252875569,0.23379860133861294,8.432228716556704e-4,0.0032312815387110423,APOL2
ENSG00000184381,113.68373660613747,-0.9489439111867136,0.31007386902874745,9.297993218840478e-4,0.0035360549968620606,PLA2G6
ENSG00000186716,1116.9219029814424,0.358271172686208,0.10982067282950488,9.875099243781128e-4,0.0037272930980286664,BCR
ENSG00000177663,259.72729524867594,-0.6208198702167812,0.19554940834449897,0.0010224343852644746,0.0038019411955760463,IL17RA
ENSG00000286592,6.178468794438591,-4.99242305325169,2.8613815268778624,0.001054492090527756,0.003892316392977453,LINC02885
ENSG00000133422,341.8813891728678,0.5597456163672945,0.17733051827915672,0.0011870086719710127,0.004317959082097453,MORC2
ENSG00000131100,938.9741537765583,-0.37470748537404214,0.11733675652693612,0.0012354166983535074,0.004461720737938567,ATP6V1E1
ENSG00000100216,883.389325276083,0.41255775617183,0.1310274046354975,0.001399889601111603,0.005019604141128748,TOMM22
ENSG00000100425,434.7468578384792,-0.4864825515969955,0.1566634961904452,0.001496403081815007,0.005327619482773997,BRD1
ENSG00000182858,242.42655149896652,-0.6121585717861169,0.20228318955418276,0.0017009873648293785,0.006013349698199634,ALG12
ENSG00000100418,580.3503281889442,0.4239035915675042,0.13863025947806257,0.0018907180801526781,0.006637345987668842,DESI1
ENSG00000280384,42.67355900493234,-1.2893801876279996,0.4980817392609337,0.0022987225149728443,0.00801360210080811,FP325332.1
ENSG00000100227,814.4237137603657,0.37504169749672717,0.12550662411983562,0.002473167664876736,0.008562277019090493,POLDIP3
ENSG00000183864,1041.726730620328,-0.3257642885996026,0.11170443890560511,0.0031974013399376756,0.010772452836568544,TOB2
ENSG00000100142,271.5297691650829,0.5472746119006031,0.19204564285990616,0.0032726133688087368,0.010952346074279905,POLR2F
ENSG00000179750,177.04167282311414,-0.7745911989521457,0.28896323750528286,0.003961499949934831,0.013170019701107849,APOBEC3B
ENSG00000100031,7.610568689450942,-3.570115821918312,1.7770102056343222,0.0052522416551509365,0.01723284516918804,GGT1
ENSG00000040608,11.85445068168874,-2.0976768549162954,1.1318502390071932,0.005419864104878304,0.017440844747749415,RTN4R
ENSG00000185686,7.593351731732695,-3.556738274771064,1.7853748021498574,0.0053736934032695225,0.017440844747749415,PRAME
ENSG00000100003,208.30455584860817,-0.5846675773467173,0.21925540481173794,0.005390850761242113,0.017440844747749415,SEC14L2
ENSG00000099940,426.57800963652585,-0.4337197031410249,0.16007743270199526,0.005578538928241818,0.01783711173234008,SNAP29
ENSG00000100030,2682.67111696349,-0.23642774348707352,0.08659657113954346,0.005993656959487735,0.01901360121281359,MAPK1
ENSG00000099949,86.64172869272572,-0.8350069937280923,0.33915229158528587,0.006681573683539575,0.02070462956257325,LZTR1
ENSG00000100348,575.3388211801257,-0.3669126211097527,0.1390927626801475,0.007300037298932115,0.022276133367434493,TXN2
ENSG00000284194,121.51023874175358,-0.7007263268577147,0.279755925783111,0.007321836664595002,0.022276133367434493,SCO2
ENSG00000283633,8.374702183052582,-2.3047795135594957,1.442024768712896,0.00786799608876488,0.02365110201532916,AP000547.3
ENSG00000184164,315.3227166589628,-0.4581263148899455,0.17839014679196552,0.008258660812743214,0.024517946865566215,CRELD2
ENSG00000100380,2036.950963634589,0.2510313619355542,0.09628164756873454,0.008666686522406859,0.025442553416656393,ST13
ENSG00000100100,149.46568391886365,-0.6295506710803676,0.2555058603004417,0.00904462234656317,0.02615834311314003,PIK3IP1
ENSG00000196588,280.1025236616815,-0.4772307269639153,0.1886896756214396,0.009053047047752592,0.02615834311314003,MRTFA
ENSG00000100239,559.707934455762,-0.36072636907324845,0.1430101242937472,0.010222905413795582,0.029325134387002186,PPP6R2
ENSG00000099956,755.2585979030434,0.31088215613408904,0.12847032176446785,0.014219129846612374,0.03987711275418666,SMARCB1
ENSG00000100207,1561.4426091223906,0.2352252158823128,0.09743085045610372,0.015024263821902077,0.04190100243663801,TCF20
ENSG00000224086,10.906888532751589,-1.6069031931160749,1.0980646032101773,0.015271564718548016,0.04212266752039068,PPM1F-AS1
ENSG00000273253,3.3100845618362924,-0.8230615160879039,1.4681081323014722,0.015643565881151213,0.042679728654010374,AL022328.4
ENSG00000079974,261.3590437140466,0.448371040222757,0.19464529750754664,0.017390879563004776,0.047190386706099444,RABL2B
ENSG00000185340,64.12098051093221,-0.8310565661433058,0.40280614319879704,0.01821778873151167,0.049168440554940095,GAS2L1
ENSG00000100281,585.1854247310399,0.3256526854454206,0.1404196302907877,0.018462636655348984,0.0495628000052684,HMGXB4
